Pcr,Stock,Name,종가,시가,고가,저가,대용가,거래량,거래대금,PER,PSR,PBR,PCR,P/EBITDAPS,Dividend Yield,Volatility
370380,10130,고려아연(주),596000.00 ,592000.00 ,607000.00 ,592000.00 ,460980.00 ,76786.00 ,45821347000.00 ,13.97 ,1.47 ,1.58 ,13.97 ,9.07 ,3.15 ,34.61 
380130,12330,현대모비스(주),206500.00 ,205000.00 ,209000.00 ,204500.00 ,160680.00 ,176039.00 ,36432736500.00 ,13.28 ,0.69 ,0.82 ,8.30 ,10.40 ,1.40 ,28.57 
380687,11070,엘지이노텍(주),280500.00 ,279500.00 ,282000.00 ,278000.00 ,212010.00 ,213739.00 ,60103417000.00 ,8.41 ,0.45 ,2.46 ,7.38 ,3.93 ,1.07 ,45.69 
380725,5930,삼성전자(주),59500.00 ,58300.00 ,59500.00 ,58300.00 ,47440.00 ,13033596.00 ,7.7E+11,25.88 ,2.43 ,2.29 ,9.89 ,10.29 ,3.25 ,22.28 
380911,270,기아(주),64100.00 ,63200.00 ,64400.00 ,63100.00 ,49990.00 ,1126438.00 ,72037761500.00 ,11.52 ,0.63 ,1.14 ,5.90 ,5.84 ,4.63 ,26.74 
380954,5380,현대자동차(주),162500.00 ,160000.00 ,163000.00 ,160000.00 ,126360.00 ,446581.00 ,72293345000.00 ,65.98 ,0.77 ,0.93 ,6.01 ,11.17 ,2.30 ,25.26 
383511,660,에스케이하이닉스(주),78400.00 ,77700.00 ,79400.00 ,77500.00 ,62550.00 ,3827227.00 ,3E+11,5.62 ,1.29 ,1.02 ,3.03 ,2.66 ,1.86 ,33.19 
387586,90430,(주)아모레퍼시픽,132500.00 ,128000.00 ,133500.00 ,126000.00 ,99180.00 ,210907.00 ,27596861500.00 ,32.49 ,2.62 ,2.01 ,16.03 ,17.68 ,0.74 ,45.49 
388742,14820,동원시스템즈(주),44400.00 ,45000.00 ,45300.00 ,44400.00 ,33670.00 ,24401.00 ,1088316150.00 ,33.53 ,1.50 ,2.49 ,24.13 ,11.34 ,1.34 ,39.06 
520047,51600,한전KPS(주),35300.00 ,34800.00 ,35450.00 ,34550.00 ,27450.00 ,184034.00 ,6463228350.00 ,16.19 ,1.15 ,1.44 ,11.93 ,9.43 ,3.40 ,37.20 
620084,4170,(주)신세계,213000.00 ,212000.00 ,215000.00 ,211000.00 ,168480.00 ,70443.00 ,15037621500.00 ,9.58 ,1.25 ,0.56 ,3.58 ,5.01 ,1.41 ,30.81 
622850,36570,(주)엔씨소프트,438500.00 ,430000.00 ,439000.00 ,425000.00 ,329840.00 ,89694.00 ,39087480000.00 ,25.57 ,4.23 ,3.07 ,24.04 ,21.86 ,1.24 ,42.76 
810045,7070,(주)지에스리테일,28500.00 ,28650.00 ,28850.00 ,28300.00 ,21920.00 ,151413.00 ,4323225700.00 ,3.01 ,0.27 ,0.76 ,3.96 ,3.21 ,4.11 ,26.73 
810193,30200,(주)케이티,36300.00 ,36400.00 ,36700.00 ,36300.00 ,29320.00 ,632006.00 ,23053174600.00 ,8.62 ,0.46 ,0.82 ,1.72 ,1.97 ,4.75 ,20.81 
820032,30000,(주)제일기획,23750.00 ,23700.00 ,24000.00 ,23550.00 ,18600.00 ,206132.00 ,4896260900.00 ,25.46 ,2.37 ,3.82 ,25.11 ,25.98 ,3.67 ,24.85 
820482,12750,(주)에스원,62100.00 ,64000.00 ,64100.00 ,62100.00 ,48710.00 ,42869.00 ,2677095800.00 ,18.05 ,0.92 ,2.38 ,6.58 ,6.30 ,3.58 ,23.89 
820717,18260,삼성에스디에스(주),125000.00 ,126000.00 ,126500.00 ,124000.00 ,99060.00 ,125166.00 ,15645423000.00 ,29.52 ,1.94 ,1.92 ,17.81 ,13.93 ,1.92 ,25.53 
C46093,178920,피아이첨단소재(주),31250.00 ,31050.00 ,31750.00 ,30650.00 ,22080.00 ,69947.00 ,2190229200.00 ,14.34 ,3.04 ,2.94 ,10.36 ,9.22 ,3.49 ,43.01 
C89248,111770,(주)영원무역,45100.00 ,44800.00 ,45600.00 ,44700.00 ,34540.00 ,56298.00 ,2543252600.00 ,14.50 ,1.38 ,1.47 ,19.60 ,11.97 ,2.20 ,38.48 
H32072,139480,(주)이마트,99500.00 ,99700.00 ,101000.00 ,99500.00 ,78390.00 ,105901.00 ,10572287300.00 ,3.64 ,0.18 ,0.30 ,6.48 ,3.51 ,2.00 ,31.22 
I66472,161390,한국타이어앤테크놀로지(주),33550.00 ,33100.00 ,33700.00 ,33100.00 ,26280.00 ,320041.00 ,10717678450.00 ,38.13 ,1.40 ,0.89 ,36.06 ,100.15 ,2.05 ,34.54 
IQ7228,271560,(주)오리온,119500.00 ,118000.00 ,120500.00 ,117500.00 ,92820.00 ,112025.00 ,13377958000.00 ,51.20 ,5.85 ,5.66 ,32.78 ,26.72 ,0.63 ,30.04 
IV0057,280360,롯데웰푸드(주),122000.00 ,124000.00 ,124000.00 ,121500.00 ,94240.00 ,12632.00 ,1545734000.00 ,25.77 ,0.51 ,0.64 ,5.24 ,5.08 ,1.31 ,22.39 
L07656,185750,(주)종근당,91300.00 ,90000.00 ,92200.00 ,89600.00 ,68850.00 ,22059.00 ,2006065000.00 ,26.14 ,0.77 ,1.92 ,67.41 ,8.65 ,1.08 ,24.48 
1471,33780,(주)케이티앤지,96400.00 ,97000.00 ,97000.00 ,96100.00 ,77600.00 ,307540.00 ,29694137700.00 ,13.98 ,3.42 ,1.67 ,10.81 ,9.74 ,4.35 ,13.88 
64847,32640,(주)LG유플러스,11800.00 ,11750.00 ,11800.00 ,11650.00 ,9440.00 ,326018.00 ,3826382550.00 ,7.54 ,0.40 ,0.86 ,1.53 ,1.60 ,2.92 ,22.33 
86512,69960,(주)현대백화점,58900.00 ,59700.00 ,60200.00 ,58900.00 ,46800.00 ,38337.00 ,2276783300.00 ,8.48 ,0.85 ,0.35 ,3.15 ,3.31 ,1.74 ,24.94 
88102,20000,(주)한섬,27750.00 ,28150.00 ,28500.00 ,27700.00 ,21470.00 ,82372.00 ,2318748400.00 ,5.23 ,0.44 ,0.60 ,3.38 ,2.88 ,1.93 ,34.52 
162210,51900,(주)LG생활건강,705000.00 ,700000.00 ,712000.00 ,697000.00 ,506880.00 ,39711.00 ,28065145000.00 ,19.46 ,2.38 ,3.77 ,15.72 ,10.76 ,1.60 ,42.22 
163890,86280,현대글로비스(주),171500.00 ,171500.00 ,174000.00 ,171000.00 ,135720.00 ,42368.00 ,7289052000.00 ,10.20 ,0.37 ,1.35 ,6.71 ,5.19 ,2.22 ,30.78 
170258,57050,(주)현대홈쇼핑,57100.00 ,57100.00 ,58300.00 ,57100.00 ,43700.00 ,26972.00 ,1556869300.00 ,14.60 ,0.61 ,0.46 ,7.30 ,4.43 ,4.01 ,21.19 
208389,69260,티케이지휴켐스(주),21850.00 ,21700.00 ,22000.00 ,21450.00 ,16560.00 ,156537.00 ,3412510250.00 ,11.53 ,0.97 ,1.30 ,10.07 ,6.80 ,4.30 ,31.30 
251763,68270,(주)셀트리온,173000.00 ,177000.00 ,179000.00 ,173000.00 ,126700.00 ,470323.00 ,82278976000.00 ,41.32 ,14.62 ,8.44 ,29.43 ,26.65 ,0.44 ,39.22 
310123,4370,(주)농심,348500.00 ,349500.00 ,352500.00 ,345000.00 ,273390.00 ,18667.00 ,6481366000.00 ,28.34 ,0.96 ,1.05 ,14.57 ,15.01 ,1.09 ,26.04 
310140,3230,삼양식품(주),124500.00 ,127500.00 ,128500.00 ,124000.00 ,100620.00 ,95323.00 ,12017443000.00 ,19.13 ,1.49 ,2.65 ,17.67 ,13.62 ,0.80 ,38.52 
310301,7310,(주)오뚜기,480500.00 ,478000.00 ,488000.00 ,477500.00 ,372840.00 ,4489.00 ,2160766500.00 ,16.19 ,0.68 ,1.30 ,13.20 ,7.95 ,1.54 ,21.48 
350338,4000,롯데정밀화학(주),58300.00 ,58300.00 ,58700.00 ,57800.00 ,45780.00 ,32124.00 ,1873542600.00 ,5.60 ,0.83 ,0.86 ,4.86 ,4.05 ,3.89 ,31.72 
350354,990,(주)DB하이텍,39000.00 ,39450.00 ,39500.00 ,38900.00 ,29740.00 ,285916.00 ,11194764600.00 ,5.35 ,1.40 ,1.60 ,4.16 ,3.12 ,1.13 ,42.70 
350559,5250,(주)녹십자홀딩스,18250.00 ,18750.00 ,18750.00 ,18100.00 ,13870.00 ,82146.00 ,1506899150.00 ,23.25 ,11.71 ,1.40 ,23.30 ,22.05 ,2.09 ,36.48 
350893,880,(주)한화,27200.00 ,27700.00 ,27800.00 ,27150.00 ,21640.00 ,102369.00 ,2799800900.00 ,19.20 ,0.64 ,0.76 ,6.76 ,7.83 ,2.53 ,30.77 
351113,14680,(주)한솔케미칼,188500.00 ,192000.00 ,194500.00 ,187500.00 ,149340.00 ,34615.00 ,6603590500.00 ,16.11 ,3.68 ,3.53 ,17.69 ,10.76 ,1.09 ,45.16 
